uid,sid,rating
0,136,2
0,150,3
0,188,3
0,220,3
0,227,5
0,235,4
0,252,3
0,278,3
0,281,3
0,298,4
1,46,3
1,70,1
1,124,1
1,159,1
1,215,1
1,225,4
1,233,5
1,249,3
1,252,4
1,296,1
2,138,1
2,169,5
2,176,2
2,228,1
2,236,5
2,240,5
2,248,2
2,252,3
2,265,3
2,281,2
3,114,4
3,153,2
3,180,1
3,181,1
3,201,1
3,226,1
3,227,4
3,249,2
3,276,3
3,282,4
4,180,4
4,185,5
4,222,4
4,226,2
4,240,3
4,242,4
4,246,5
4,252,5
4,273,4
4,274,4
5,65,1
5,143,3
5,226,2
5,241,3
5,244,2
5,253,3
5,256,3
5,257,4
5,260,3
5,282,2
6,197,2
6,210,2
6,236,4
6,250,2
6,251,2
6,256,1
6,265,3
6,282,1
6,291,3
6,295,4
7,158,1
7,166,1
7,196,3
7,222,1
7,240,1
7,259,1
7,261,3
7,281,2
7,293,1
7,297,3
8,109,1
8,159,2
8,173,2
8,204,3
8,242,3
8,243,4
8,250,1
8,253,4
8,257,5
8,275,1
9,26,1
9,178,1
9,200,4
9,206,5
9,212,3
9,227,5
9,228,5
9,235,2
9,247,2
9,249,4
10,28,1
10,168,1
10,232,1
10,243,3
10,248,1
10,253,1
10,254,1
10,262,3
10,287,4
10,288,5
11,76,2
11,77,1
11,230,4
11,246,5
11,247,4
11,248,2
11,249,4
11,250,3
11,251,4
11,253,3
12,119,3
12,150,2
12,167,1
12,212,3
12,224,3
12,227,3
12,239,3
12,252,4
12,288,2
12,298,2
13,5,1
13,31,3
13,39,1
13,94,1
13,103,4
13,150,1
13,157,1
13,166,5
13,198,3
13,238,4
14,26,2
14,152,1
14,198,3
14,219,3
14,237,3
14,251,2
14,260,2
14,265,2
14,278,3
14,296,5
15,163,1
15,170,3
15,176,1
15,191,2
15,192,2
15,194,2
15,197,1
15,217,3
15,240,1
15,292,4
16,158,3
16,159,1
16,175,1
16,215,1
16,226,1
16,227,2
16,231,3
16,233,4
16,250,1
16,275,3
17,153,3
17,154,2
17,177,3
17,194,3
17,204,2
17,205,3
17,207,3
17,242,3
17,253,3
17,266,3
18,166,3
18,175,4
18,176,2
18,183,1
18,225,1
18,247,3
18,257,5
18,280,4
18,297,5
18,298,2
19,150,1
19,159,1
19,173,5
19,213,1
19,227,2
19,246,4
19,249,4
19,254,1
19,264,2
19,273,2
20,16,1
20,48,2
20,72,2
20,101,1
20,145,1
20,161,4
20,176,2
20,206,1
20,211,1
20,241,4
21,155,4
21,156,5
21,228,5
21,229,4
21,230,5
21,244,2
21,248,2
21,249,3
21,253,3
21,292,3
22,48,4
22,113,3
22,195,3
22,230,4
22,248,1
22,250,1
22,252,5
22,253,3
22,262,4
22,288,5
23,84,1
23,150,1
23,156,1
23,163,1
23,189,4
23,195,1
23,202,1
23,233,4
23,250,1
23,252,1
24,73,5
24,226,4
24,227,4
24,236,4
24,237,4
24,253,4
24,255,2
24,263,3
24,286,4
24,289,2
25,156,2
25,160,1
25,165,3
25,199,5
25,223,1
25,240,2
25,242,3
25,259,1
25,260,4
25,283,1
26,4,3
26,103,2
26,152,4
26,166,3
26,168,4
26,213,3
26,250,1
26,275,3
26,284,1
26,290,5
